"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und höher "
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 als Standard, falls nicht gesetzt. Um die Instanz zu aktualisieren, deaktivieren Sie den Cache für die Ausgabe von HTML-Blöcken."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warnung:</strong> Die standardmäßige Anwendung der UVP wird alle Artikelpreise im Shop verstecken!"
"A group with the same name already exists.","Eine Gruppe mit dem selben Namen existiert bereits."
"A name is required","Ein Name wird benötigt"
"A product type is not defined for the indexer.","Eine Artikelart ist noch nicht definiert für den Indexer."
"ALL GROUPS","Alle Kundengruppen"
"AM","AM"
"Action","Aktion"
"Actual Price","Tatsächlicher Preis"
"Add","Hinzufügen"
"Add Attribute","Attribut hinzufügen"
"Add Design Change","Gestaltungsänderung hinzufügen"
"Add Group","Gruppe hinzufügen"
"Add Group Price","Preis je Kundengruppe hinzufügen"
"Add New","Neu"
"Add New Attribute","Neues Attribut"
"Add New Attribute Set","Neues Attributset"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder"
"Add New Option","Neue Option"
"Add New Row","Zeile hinzufügen"
"Add New Search Term","Neue Suchanfragen"
"Add New Set","Neues Set"
"Add Product","Artikel hinzufügen"
"Add Product To Websites","Artikel zu Webseiten hinzufügen"
"Add Root Category","Root-Kategorie hinzufügen"
"Add Subcategory","Unterkategorie hinzufügen"
"Add Tax","Steuern hinzufügen"
"Add Tier","Preisstaffel hinzufügen"
"Add attribute into attribute set","Attribut zu Attributset hinzufügen"
"Add group into attribute set","Gruppe zu Attributset hinzufügen"
"Add new custom option into product","Individualisierungsoptionen zu Artikel hinzufügen"
"Add new values into custom option","Neue Werte zu Individualisierungsoptionen hinzufügen"
"Add option","Neue Option"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Information","Zusatzinformation"
"Alert Urls","Alarm Urls"
"All","Alle"
"All Product Types","Alle Artikelarten"
"All Websites","Alle Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle Artikel dieses Sets werden gelöscht! Sind Sie sicher, dass Sie diese Attributset löschen möchten?"
"Allow All Products per Page","Erlaube alle Artikel pro Seite"
"Allow Dynamic Media URLs in Products and Categories","Erlaube dynamische Media-URLs bei Artikel und Kategorien"
"Allow HTML Tags on Frontend","HTML-Tags im Frontend erlauben"
"Allowed File Extensions","Erlaubte Dateierweiterungen"
"Allowed file extensions to upload","Erlaubte Dateierweiterungen zum hochladen"
"An error occurred while adding products to websites.","Ein Fehler ist beim Zuweisen von Artikeln zu einer Website."
"An error occurred while clearing comparison list.","Ein Fehler ist beim Leeren der Vergleichsliste aufgetreten."
"An error occurred while deleting this review.","Beim Löschen dieser Kundenrezension ist ein Fehler aufgetreten."
"An error occurred while removing products from websites.","Ein Fehler ist beim Löschen von Artikeln von einer Website aufgetreten."
"An error occurred while saving the URL rewrite","Ein Fehler ist beim Speichern des URL-Rewrites aufgetreten"
"An error occurred while saving the attribute set.","Beim Speichern des Attribut-Sets ist ein Fehler aufgetreten."
"An error occurred while saving the collection, aborting. Error message: %s","Fehler beim Speichern der Collection: %s"
"An error occurred while saving the product. ","Ein Fehler ist beim Speichern des Artikels aufgetreten. "
"An error occurred while saving the search query.","Beim Speichern der Suchanfrage ist ein Fehler aufgetreten."
"An error occurred while saving this group.","Beim Speichern dieser Gruppe ist ein Fehler aufgetreten."
"An error occurred while saving this review.","Beim Speichern dieser Kundenrezension ist ein Fehler aufgetreten."
"An error occurred while trying to delete the category.","Beim Versuch die Kategorie zu löschen ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) attributes.","Beim Aktualisieren der Artikel-Attribute ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) status.","Beim Aktualisieren des Artikel-Status ist ein Fehler aufgetreten."
"An invalid group ID is specified, skipping the record.","Eine ungültige Gruppen-ID ist hinterlegt, Eintrag übersprungen."
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Option-ID wurde für %s (%s) angegeben. Eintrag wird übersprungen."
"An invalid store was specified.","Ein ungültiger Store ist festgelegt."
"Anchor Custom Text","Individueller Anker Text"
"Anchor Custom Title","Individueller Link-Text"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Nur anwendbar auf Katalog Artikel und Kategorien. Jeder Medien-Inhalt wird über den Editor als statische URL eingefügt. Diese wird nicht aktualisiert wenn in der Systemkonfiguration die BasisURL verändert wird."
"Apply MAP (Default Value)","UVP anwenden (Standardwert)"
"Apply To","Anwenden auf"
"Approved","Bestätigt"
"Are you sure you want to delete this category?","Sind Sie sicher, dass Sie diese Kategorie wirklich löschen wollen?"
"Are you sure you would like to remove all products from your comparison?","Sind Sie sicher, dass Sie alle Artikel von der Vergleichsliste entfernen wollen?"
"Are you sure you would like to remove this item from the compare products?","Sind Sie sicher, dass Sie dieses Artikel von der Vergleichsliste entfernen wollen?"
"Are you sure?","Sind Sie sicher?"
"As low as:","ab:"
"Assign","Zuweisen"
"Assign product link","Artikellink zuweisen"
"Assign product to category","Artikel der Kategorie zuweisen"
"Assigned Products","Zugewiesene Artikel"
"Associated Products","Verknüpfte Artikel"
"Attrib. Set Name","Attributsetname"
"Attribute ""%s"" is invalid.","Attribut ""%s"" ist ungültig."
"Attribute ""%s"" is required.","Attribut ""%s"" ist ein Pflichtfeld."
"Attribute Information","Attributinformation"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributname"
"Attribute Set","Attributset"
"Attribute Sets","Attributsets"
"Attribute add","Attribut hinzufügen"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributcode ist ungültig. Bitte verwenden Sie nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Attribute group with the \"/name/\" name already exists","Attributgruppe mit dem Selben \"/name/\" Name existiert bereits"
"Attribute remove","Attribute entfernen"
"Attribute with the same code already exists","Attribut mit diesem Code existiert bereits"
"Attributes","Attribute"
"Attrribute names can be specified per store.","Attributnamen können pro Store definiert werden."
"Autogenerate","Automatisch erzeugt"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Backend Model","Backend Modell"
"Backend Table","Backend Tabelle"
"Backend Table Title","Backend Tabellentitel"
"Backorders","Nachlieferungen"
"Based On","Kopieren von"
"Before Order Confirmation","Vor der Bestellbestätigung"
"Best Value","Bewertung"
"Block after Info Column","Block nach der Info-Spalte"
"Bottom Block Options Wrapper","Unterer Options-Block Container"
"Bottom/Left","Unten links"
"Bottom/Right","Unten rechts"
"Browse By","Durchsuchen nach"
"Bundle Items","Bündel-Artikel"
"Buy %1$s","Kaufe %1$s"
"Buy %1$s for","Kaufen Sie %1$s zum Preis von "
"Buy %1$s for %2$s","Kaufen Sie %1$s zum Preis von %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s zum Preis von je %2$s (%3$s inkl. Steuern)"
"Buy %1$s for %2$s each","Kaufen Sie %1$s zum Preis von je %2$s"
"Cache Lifetime (Seconds)","Lebenszeit der Caches in Sekunden"
"Cache refresh needed.","Cache Aktualisierung nötig."
"Can be Divided into Multiple Boxes for Shipping","Kann für den Versand in mehrere Pakete aufgeteilt werden"
"Can be used only with catalog input type Dropdown","Kann nur mit Dropdown-Feldern verwendet werden"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kann nur mit Dropdown-, Mehrfachauswahl- und Preis-Feldern verwendet werden."
"Can\'t create image.","Bild konnte nicht erstellt werden."
"Cancel","Abbrechen"
"Cannot create image.","Bild kann nicht erstellt werden."
"Cannot create writeable directory '%s'.","Verzeichnis '%s' mit Schreibrechten konnte nicht erstellt werden."
"Cart Item Attribute","Warenkorb Artikel Attribut"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalog Kategorie (Anker)"
"Catalog Category (Non-Anchor)","Katalog Kategorie (Kein-Anker)"
"Catalog Category (Without Subcategories)","Katalog Kategorie(Ohne Unterkategorien)"
"Catalog Category Link","Katalog Kategorie-Link"
"Catalog New Products List","Katalog - Liste neuer Artikel"
"Catalog Price Scope","Katalogpreis-Gültigkeit"
"Catalog Product Compare List","Katalog Artikel Vergleichsliste"
"Catalog Product Email to a Friend","Artikel per E-Mail an einen Freund"
"Catalog Product Image Gallery Popup","Katalog Artikel Galerie PopUp"
"Catalog Product Link","Katalog Artikel Link"
"Catalog Product View (Any)","Katalog Artikel Ansicht(jede)"
"Catalog Product View (Configurable)","Katalog Artikel Ansicht(Konfigurierbare)"
"Catalog Product View (Grouped)","Katalog Artikel Ansicht(Gruppiert)"
"Catalog Product View (Simple)","Katalog Artikel Ansicht(Einfach)"
"Catalog Product View (Virtual)","Katalog Artikel Ansicht(Virtuell)"
"Catalog Section","Katalog Bereich"
"Catalog Seo Sitemap (Category List)","Katalog SEO Sitemap (Kategorie Liste)"
"Catalog Seo Sitemap (Category Tree)","Katalog SEO Sitemap (Kategorie Baum)"
"Catalog Seo Sitemap (Common)","Katalog SEO Sitemap (gemeinsam)"
"Catalog Seo Sitemap (Product List)","Katalog SEO Sitemap (Artikel Liste)"
"Catalog URL Rewrites","Katalog URL Rewrites"
"Catalog product custom option values API","Katalog Artikel Individualisierungsoptionen Werte API"
"Catalog product custom options API","Katalog Artikel Individualisierungsoptionen API"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
