"%s is not correct comparsion method.","%s ist keine gültige Vergleichsmethode."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Bitte beachten Sie</strong>, dass diese Einstellung nur auf bestimme Warenkorb-Elemente Einfluss hat, nicht jedoch auf den gesamten Warenkorb."
"Allow Qty Below 0","Lagerbestand unter 0 erlauben"
"Allow Qty Below 0 and Notify Customer","Lagerbestand unter 0 und Kunden informieren"
"Backorders","Nachbestellungen"
"By Fixed value","Durch festen Wert"
"By Percentage","Durch Prozent"
"Can not specify product identifier for order item","Produktbezeichner für Bestellartikel kann nicht ermittelt werden"
"Catalog Inventory","Katalogbestand"
"Decrease Stock When Order is Placed","Lagerbestand nach Bestellung verkleinern"
"In Stock","Auf Lager"
"Inventory","Lagerverwaltung"
"Inventory API","Lagerverwaltung API"
"Inventory Section","Bestand"
"Manage Stock","Warenbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"No Backorders","Keine Nachbestellungen"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Out of Stock","Nicht auf Lager"
"Product Stock Options","Produkt Lagerbestand Optionen"
"Qty for Items' Status to become Out of Stock","Lagerbestand ""Nicht auf Lager"" ab (Stk.)"
"Retrieve stock data","Lagerdaten abfragen"
"Retrieve stock data by product ids","Lagerbestand nach Produkt-ID abfragen"
"Rule price","Regelpreis"
"Set Items' Status to be In Stock When Order is Cancelled","Artikelstatus auf verfügbar setzen, wenn Bestellung storniert wird"
"Some of the products are currently out of stock","Einige der Produkte sind momentan nicht auf Lager"
"Some of the products can not be ordered in requested quantity","Einige Produkte können nicht in der bestellten Menge geliefert werden"
"Some of the products cannot be ordered in the requested quantity","Einige Produkte können nicht in der bestellten Menge geliefert werden"
"Stock Options","Lageroptionen"
"Stock item for Product in option is not valid","Lagerseitiges Produkt für dieses Produkt in Option ist nicht gültig"
"Stock item for Product is not valid","Lagerseitiges Produkt für dieses Produkt nicht gültig"
"The maximum quantity allowed for purchase is %s.","Die Höchstbestellmenge beträgt %s."
"The minimum quantity allowed for purchase is %s.","Die Mindestbestellmenge beträgt %s."
"The requested quantity for ""%s"" is not available.","Die gewünschte Anzahl für ""%s"" ist momentan nicht verfügbar."
"The requested quantity is not available.","Die gewünschte Anzahl für ist momentan nicht verfügbar."
"This product is currently out of stock.","Dieses Produkt ist vorrübergehend nicht auf Lager"
"To Fixed Value","Auf festen Wert"
"To Percentage","Auf Prozent"
"Update","aktualisieren"
"Update product stock data","Lagerbestand für Produkt aktualisieren"
"Update the Product","Produkt aktualisieren"
