"(eg: domain.com/identifier)","(z.B.: domain.de/seitenbezeichner)"
"Action","Aktion"
"Enabled","Aktiviert"
"All countries","Alle Länder"
"General Information","Allgemeine Information"
"Description","Beschreibung"
"Edit Block '%s'","Block '%s' bearbeiten"
"Edit Block","Block bearbeiten"
"Delete Block","Block löschen"
"Save Block","Block speichern"
"Block was successfully deleted","Block wurde erfolgreich gelöscht"
"Block was successfully saved","Block wurde erfolgreich gespeichert"
"Such a block identifier in selected store already exist.","Blockbezeichner existiert in angegebenem Shop bereits."
"Block Information","Blockinformation"
"Manage Blocks","Blocks verwalten"
"Block Title","Blocktitel"
"Show breadcrumbs for CMS pages","Brotkrumennavigation für CMS-Seiten"
"CMS","CMS"
"CMS Blocks","CMS Blöcke"
"CMS No Route Page","CMS keine Routenseite"
"CMS Pages","CMS Seiten"
"CMS Home Page","CMS Startseite"
"Disabled","Deaktiviert"
"Unable to find a block to delete","Der zu löschende Block wurde nicht gefunden"
"The page you are trying to save no longer exists","Die Seite, die Sie zu speichern versuchen, existiert nicht mehr"
"Unable to find a page to delete","Die zu löschende Seite wurde nicht gefunden"
"This page no longer exists","Diese Seite existiert nicht mehr"
"This block no longer exists","Dieser Block existiert nicht mehr"
"Custom Design","Eigene Gestaltung"
"Custom Theme","Eigenes Theme"
"Custom Theme To","Eigenes Theme bis"
"Custom Theme From","Eigenes Theme von"
"Date Created","Erstellt am"
"Content","Inhalt"
"Keywords","Keywords"
"Customer Tax Class Information","Kundensteuerklasse Information"
"Layout","Layout"
"Meta Description","Meta Beschreibung"
"Meta Keywords","Meta Keywords"
"Meta Data","Metadaten"
"New Page","Neue Seite"
"Add New Page","Neue Seite anlegen"
"Add New Block","Neuen Block anlegen"
"New Block","Neuer Block"
"Product Tax Class Information","Produktsteuerklasseninformation"
"Edit Page '%s'","Seite '%s' bearbeiten"
"Edit Page","Seite bearbeiten"
"Delete Page","Seite löschen"
"Save Page","Seite speichern"
"Page was successfully deleted","Seite wurde erfolgreich gelöscht"
"Page was successfully saved","Seite wurde erfolgreich gespeichert"
"Manage Pages","Seiten verwalten"
"Identifier","Seitenbezeichner"
"Page Identifier cannot consist only of numbers.","Seitenbezeichner darf nicht nur aus Ziffern bestehen."
"Page Identifier for specified store already exist.","Seitenbezeichner existiert für den angegebenen Store bereits."
"Page Information","Seiteninformation"
"Page Status","Seitenstatus"
"Page Title","Seitentitel"
"Home","Startseite"
"Static Blocks","Statische Blöcke"
"Status","Status"
"Store View","StoreView"
"SEF URL Identifier","Suchmaschinen freundlicher URL"
"Title","Titel"
"Poll Manager","Umfrageverwaltung"
"Preview","Vorschau"
"Layout Update XML","XML für Layoutänderung"
"Last Modified","Zuletzt geändert am"
"Go to Home Page","Zur Startseite"
