"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' scheint ein DNS-Hostname zu sein, aber TLD-Teil konnte nicht ausgelesen werden"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' scheint ein DNS-Hostname zu sein, aber der TLD-Teil scheint nicht gültig zu sein"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' scheint ein DNS-Hostname zu sein, aber der TLD-Teil '%tld%' konnte nicht gegen das Schema validiert werden"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' scheint ein DNS-Hostname zu sein, enthält aber einen Bindestrich an einer ungültigten Position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' scheint ein DNS-Hostname zu sein, aber die verwendete PunyCode-Notation konnte nicht entschlüsselt werden"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint ein lokaler Netzwerkname zu sein. Lokale Netzwerknamen sind jedoch nicht erlaubt"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind aber nicht erlaubt"
"'%value%' does not appear to be a valid local network name","'%value%' scheint kein gültiger lokaler Netzwerkname zu sein"
"* Required Fields","* Pflichtfelder"
"A new password has been sent.","Ein neues Passwort wurde versendet."
"ALL GROUPS","Alle Kundengruppen"
"Account Dashboard","Benutzerkonto Übersicht"
"Account Information","Benutzerkonto Information"
"Account Sharing Options","Benutzerkonto Verteilungsoptionen"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachten Sie dazu den Bestätigungslink in der E-Mail. Um Ihre Bestätigung noch einmal versenden zu lassen, <a href=""%s"">klicken Sie hier</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Kontobestätigung ist erforderlich. Bitte beachten Sie dazu den Bestätigungslink in der E-Mail. Um Ihre Bestätigung noch einmal versenden zu lassen, <a href=""%s"">klicken Sie hier</a>."
"Action","Aktion"
"Add New Address","Neue Adresse"
"Add New Customer","Neuen Kunden"
"Add New Customer Group","Neue Kundengruppe"
"Added From","Hinzugefügt von"
"Additional Address Entries","Zusätzliche Adresseinträge"
"Address","Adresse"
"Address Book","Adressbuch"
"Address Books","Adressbücher"
"Address Information","Adressinformation"
"Address Templates","Adress-Format Vorlagen"
"Addresses","Adressen"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle StoreViews"
"All countries","Alle Länder"
