"Enabled","Aktiviert"
"Amex","Amex"
"API User Name","API Benutzername"
"API Password","API Passwort"
"API Signature","API Signatur"
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Authorization","Autorisation"
"Authorize and Capture","Autorisieren und Erfassen"
"There has been an error processing your payment. Please try later or contact us for help.","Beim Verarbeiten der Zahlung trat ein Fehler auf. Bitte versuchen Sie es später noch einmal oder nehmen Sie Kontakt mit uns auf."
"Review Order","Bestellübersicht"
"Order","Bestellung"
"Place an Order","Bestellung aufgeben"
"Submitting order information...","Bestellung wird übermittelt..."
"Please select a valid shipping method","Bitte wählen Sie eine gültige Versandart"
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Debug Flag","Debug Flag"
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"There was an error during communication with Paypal: %s - %s","Fehler bei der Kommunikation mit PayPal: %s - %s"
"There was an error connecting to the Paypal server: %s","Fehler bei der Verbindung zum PayPal Server: %s"
"Error in creating an invoice","Fehler beim Anlegen der Rechnung"
"Error in refunding the payment","Fehler beim Erstatten der Zahlung"
"Discover","feststellen"
"Expiration Date","Gültig bis"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"Order total amount does not match paypal gross total amount","Gesamtbetrag der Bestellung entsprich nicht dem Gesamtbrutto bei PayPal"
"Business Account","Geschäftskundenkonto"
"Business Name","Geschäftskundenname"
"Selected currency code (","Gewählter Währungscode ("
"Your billing address will be ignored and you will be redirected to PayPal UK website","Ihre Rechnungsanschrift wird ignoriert und Sie werden zu PayPal UK weitergeleitet."
"Received IPN verification","IPN Verifikation erhalten"
"Card Verification Number","Kartenprüfnummer"
"N/A","Keine Angabe"
"Problem during communication with PayPal","Kommunikationsfehler mit PayPal"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Types","Kreditkartentypen"
"MasterCard","MasterCard"
"Name on Card","Name auf der Karte"
"Name on the Card: %s","Name auf der Karte: %s"
"New order status","Neuer Bestellstatus"
"Switch/Solo Only","Nur Switch/Solo"
"Paypal Checkout","PayPal Bezahlvorgang"
"PayPal Direct (Website Payments Pro)","PayPal Direct (Website Payments Pro)"
"PayPal Email","PayPal E-Mail"
"Paypal Express (Website Payments Pro)","Paypal Express (Website Payments Pro)"
"Paypal IPN Invalid.","Paypal IPN ungültig."
"PayPal Accounts","PayPal Kundenkonten"
"Paypal Logo Image URL(150x150)","Paypal Logo Bild URL (150x150)"
"PayPal Standard (Website Payments Standard)","PayPal Standard (Website Payments Standard)"
"PayPal Uk Account","PayPal UK Zugang"
"Price","Preis"
"Product Name","Produktname"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Use Proxy","Proxy verwenden"
"Invoice ","Rechnung"
"Billing Information","Rechnungsinformation"
"Sort order","Reihenfolge"
"Sandbox Flag","Sandbox Flag"
"You will be redirected to paypal in a few seconds.","Sie werden in wenigen Sekunden zu PayPal weitergeleitet."
"Start Date","Startdatum"
"Qty","Stück"
"Switch/Solo card start Date: %s/%s","Switch/Solo Kartenstartdatum: %s/%s"
"Switch/Solo card issue number: %s","Switch/Solo Kartenzulassungsnummer: %s"
"Title","Titel"
"Transaction Type","Transaktionstyp"
"Type","Typ"
"Unknown PayPal API error: %s","Unbekannter PayPal API Fehler: %s"
"Invalid transaction id","Ungültige Transaktionskennung"
"Sale","Verkauf"
"Shipping Address","Versandadresse"
"Change Shipping Address","Versandadresse ändern"
"Shipping Method","Versandart"
"Update Shipping Method","Versandart ändern"
"Shipping Information","Versandinformation"
"Visa","Visa"
"Issue Number","Vorfallnummer"
"Edit Shopping Cart","Warenkorb bearbeiten"
"What is this?","Was ist das?"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"Payment from Specific countries","Zahlung von bestimmten Ländern"
"Payment from applicable countries","Zahlung von zugelassenen Ländern"
"Payment Action","Zahlungsaktion"
"Payment Method","Zahlweise"
"Change Payment Method","Zahlweise ändern"
"Subtotal","Zwischensumme"
