"Actions","Aktionen"
"Add Answer","Antwort hinzufügen"
"Add New Answer","Neue Antwort hinzufügen"
"Add New Poll","Neue Umfrage hinzufügen"
"Answer Title","Antworttitel"
"Answer Title:","Antworttitel:"
"Answer was successfully saved","Antwort wurde erfolgreich gespeichert"
"Answer with the same title in this poll","Gleichlautende Antwort in dieser Umfrage"
"Are you sure you want to delete it?","Wollen Sie das wirklich löschen?"
"Assigned Answers","Zugewiesene Antworten"
"Closed","Geschlossen"
"Community Poll","Kundenumfrage"
"Date Closed","Geschlossen am"
"Date Posted","Veröffentlicht am"
"Delete","Löschen"
"Delete Answer","Antwort löschen"
"Delete Poll","Umfrage löschen"
"Disallow voting in a poll multiple times from same IP-address","Mehrfachabstimmung bei gleicher IP unterbinden"
"Edit Answer '%s'","Bearbeite Antwort '%s'"
"Edit Poll '%s'","Bearbeite Umfrage '%s'"
"Edit Poll Answer","Bearbeite Umfrageantwort"
"ID","ID"
"Invalid Answer","Ungültige Antwort"
"New Poll","Neue Umfrage"
"Number of Responses","Stimmenanzahl"
"Open","Offen"
"Poll Answers","Umfrageantworten"
"Poll Information","Umfrageinformation"
"Poll Manager","Umfrageverwaltung"
"Poll Question","Umfragethema"
"Poll information","Umfrageinformation"
"Poll not exists","Umfrage existiert nicht"
"Poll with the same question","Umfrage mit der selben Frage"
"Polls","Umfragen"
"Save Answer","Antwort speichern"
"Save Poll","Umfrage speichern"
"Status","Status"
"Unable to find answer to delete.","Zu löschende Antwort wurde nicht gefunden."
"Visible In","Sichtbar in"
"Vote","Abstimmen"
"Votes Count","Stimmenanzahl"
"Votes Count:","Stimmenanzahl:"
