"Unsubscribe from all price alerts","Alle Preisbenachrichtigungen deaktivieren"
"Unsubscribe from all stock alerts","Alle Verfügbarkeitsbenachrichtigungen deaktivieren"
"Alert subscription was deleted successfully","Anmeldung zur Benachrichtigung wurde erfolgreich gelöscht"
"Alert subscription was saved successfully","Anmeldung zur Benachrichtigung wurde erfolgreich gespeichert"
"Product Alerts Run Settings","Ausführungseinstellungen für Produktbenachrichtigungen"
"Alert Email Sender","Benachrichtigung E-Mail Absender"
"Please try again later","Bitte versuchen Sie es später noch einmal"
"Product alerts Cron error","Cron-Fehler bei Produktbenachrichtigungen"
"Allow alert when product comes back in stock","Erlaube Benachrichtigung, wenn Produkt wieder verfügbar ist."
"Allow alert when product price changes","Erlaube Benachrichtigung, wenn sich der Produktpreis ändert"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Template","Fehler E-Mail Vorlage"
"Frequency","Häufigkeit"
"Click here not to receive alerts for this product","Klicken Sie hier, um keine weiteren Benachrichtigungen für dieses Produkt zu erhalten"
"Not enough parameters","Parameter nicht ausreichend"
"Price:","Preis:"
"Sign up for price alert","Preisbenachrichtigung aktivieren"
"Price alert Email Template","Preisbenachrichtigung E-Mail Vorlage"
"Product price alert","Preisbenachrichtigungen"
"Product not found","Produkt nicht gefunden"
"Product Alerts","Produktbenachrichtigungen"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Sie erhalten diese Nachricht, da Sie die Preisbenachrichtigung aktiviert haben. Die folgenden Produkte haben sich im Preis geändert:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Sie erhalten diese Nachricht, da Sie die Verfügbarkeitsbenachrichtigung aktiviert haben. Die folgenden Produkte sind nun wieder für Sie verfügbar:"
"You will no longer receive price alerts for this product","Sie erhalten nun keine weiteren Preisbenachrichtigungen mehr für dieses Produkt."
"You will no longer receive stock alerts for this product","Sie erhalten nun keine weiteren Verfügbarkeitsbenachrichtigungen mehr für dieses Produkt."
"You will no longer receive stock alerts","Sie erhalten nun keine weiteren Verfügbarkeitsbenachrichtigungen mehr."
"Special price:","Sonderpreis:"
"Start Time","Startzeit"
"Product stock alert","Verfügbarkeitsbenachrichtigung"
"Sign up to get notified when this product is back in stock","Verfügbarkeitsbenachrichtigung aktivieren"
"Stock alert Email Template","Verfügbarkeitsbenachrichtigung E-Mail-Vorlage"
