"# of Uses","# an Verwendungen"
"<strong>Tag Name:</strong> %s","<strong>Schlagwort Name:</strong> %s"
"Action","Aktion"
"Add New Tag","Neues Schlagwort hinzufügen"
"Add Tags","Schlagworte hinzufügen"
"Add Your Tags:","Fügen Sie Ihre Schlagworte hinzu:"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"All Tags","Alle Schlagworte"
"Approved","Bestätigt"
"Are you sure you want to delete this tag?","Sind Sie sicher das Sie dieses Schlagwort löschen wollen?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das machen wollen?"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Back to Tags List","Zurück zur Schlagwortliste"
"Base Popularity","Basis Popularität"
"Block Information","Blockinformation"
"CSV","CSV"
"Catalog Product View","Katalog Artikelansicht"
"Change status","Status ändern"
"Click on a tag to view your corresponding products.","Klicken Sie auf ein Schlagwort, um übereinstimmende Artikel zu finden."
"Country","Land"
"Customer My Account My Tags List","Mein Kundenkonto - Meine Schlagwort-Liste"
"Customer My Account Tag View","Mein Kundenkonto - Schlagwortansicht"
"Customer Since","Kunde seit"
"Customers","Kunden"
"Customers Submitted this Tag","Kunden übermittelten dieses Schlagwort"
"Customers Tagged '%s'","Kunden, die '%s' verschlagwortet haben"
"Delete","Löschen"
"Delete Tag","Schlagwort löschen"
"Disabled","Deaktiviert"
"Edit Tag '%s'","Schlagwort '%s' bearbeiten"
"Email","E-Mail"
"First Name","Vorname"
"General Information","Allgemeine Information"
"Grid","Gitter"
"ID","ID"
"Last Name","Nachname"
"List","Liste"
"Manage Tags","Schlagwörter verwalten"
"My Recent Tags","Meine neuesten Schlagworte"
"My Tags","Meine Schlagworte"
"Name","Name"
"New Tag","Neues Schlagwort"
"No matches found.","Keine Übereinstimmungen gefunden."
"Other people marked this product with these tags:","Andere Kunden haben diesen Artikel mit folgenden Schlagworten markiert:"
"Pending","Ausstehend"
"Pending Tags","Ausstehende Schlagworte"
"Popular","Beliebt"
"Popular Tags","Beliebte Schlagworte"
"Price","Preis"
"Product Name","Artiikelname"
"Product SKU","Artikelnummer"
"Product Tags","Artikelschlagworte"
"Products","Artikel"
"Products Tagged by Administrators","Artikel verschlagwortet von Administratoren"
"Products Tagged by Customers","Artikel verschlagwortet von Kunden"
"Products Tagged with '%s'","Artikel mit Schlagwort '%s'"
"Products tagged with '%s'","Artikel mit Schlagwort '%s'"
"Rebuild Tag aggregation data","Neuaufbau der Schlagwort Gruppierungsdaten"
"SKU","Artikelnummer"
"Save Tag","Schlagwort speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Status","Status"
"Store View","StoreView"
"Tag","Schlagwort"
"Tag ""%s"" has already been added to the product.","Schlagwort ""%s"" wurde dem Artikel bereits hinzugefügt"
"Tag ""%s"" has been added to the product.","Schlagwort ""%s"" wurde zum Artikel hinzugefügt."
"Tag ""%s"" has been rejected by administrator.","Schlagwort ""%s"" wurde vom Administrator abgelehnt."
"Tag Aggregation Data","Schlagwort Gruppierung"
"Tag Name","Schlagwortname"
"Tagged Products List","Artikelliste mit Schlagworten"
"Tags","Schlagworte"
"Tags List (All Available)","Liste von Schlagworten (Alle verfügbaren)"
"Tags List Before","Schlagwort Liste davor"
"Tags:","Schlagworte:"
"Telephone","Telefon"
"The tag has been deleted.","Dieses Schlagwort wurde gelöscht"
"There are no tags available.","Es sind keine Schlagworte verfügbar."
"Unable to find any products tagged with '%s' in the current store","Konnte keine Artikel mit den Schlagwort(en) '%s' im Shop finden"
"Unable to remove tag. Please, try again later.","Entfernen des Schlagwortes nicht möglich. Bitte versuchen Sie es später noch einmal."
"Unable to save tag(s).","Es ist nicht möglich Schlagwort(e) zu speichern."
"Use spaces to separate tags. Use single quotes (') for phrases.","Benutzen Sie Leerzeichen um Schlagworte zu trennen. Benutzen Sie (') für Phrasen."
"View All Tags","Alle Schlagworte ansehen"
"View Customers","Kunden ansehen"
"View Products","Artikel ansehen"
"XML","XML"
"You have not tagged any products yet.","Sie haben bisher noch keine Artikel mit Schlagworten versehen."
"ZIP/Post Code","Postleitzahl"
