"%s","%s"
"-- Please Select --","-- Bitte wählen --"
"Actions","Aktionen"
"Add Layout Update","Layout Update hinzufügen"
"Add New Widget Instance","Neue Widget Instanz hinzufügen"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Produkt Arten"
"Anchor Categories","Anker Kategorien"
"Assign to Store Views","Zugewiesen zu StoreViews"
"Big Image","Großes Bild"
"Block Reference","Block Referenz"
"CMS","CMS"
"Categories","Kategorien"
"Choose...","Wähle..."
"Close","schließen"
"Continue","fortsetzen"
"Default Template","Default Template"
"Delete","löschen"
"Design Package/Theme","Design Paket/Theme"
"Export to:","Export nach:"
"Frontend Properties","Frontend Eigenschaften"
"Generic Pages","Generische Seiten"
"Images","Bilder"
"Insert Widget","Widget einfügen"
"Layout Updates","Layout Updates"
"Manage Widget Instances","Widget Instanzen verwalten"
"New Instance","Neue Instanz"
"New Widget Instance","Neue Widget Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Keine-Anker Kategorie"
"Not Selected","Nicht ausgewählt"
"Page","Seite"
"Please Select Block Reference First","Bitte zuerst Block Referenz wählen"
"Previous page","letzte Seite"
"Products","Produkte"
"Remove Layout Update","Layout Update entfernen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alle auswählen"
"Select Visible","Sichtbare auswählen"
"Settings","Einstellungen"
"Sort Order","Reihenfolge"
"Sort Order of widget instances in the same block reference","Reihenfolge der Widget-Instanzen innerhalb der gleichen Block Referenz."
"Specific %s","Bestimmte %s"
"Specified Page","Bestimmte Seite"
"Template","Vorlage"
"The information in this tab has been changed.","Die Information in diesem Tab hat sich verändert."
"This tab contains invalid data. Please solve the problem before saving.","Dieses Tab enthält ungültige Daten. Bitte beheben Sie dieses Problem bevor Sie speichern."
"Thumbnail","Thumbnail"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Type","Typ"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","Ansicht"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instanz"
"Widget Instance Title","Widget Instanz Titel"
"Widget Options","Widget Optionen"
"Widget Type","Widget Art"
"Widget Type is not specified","Widget Typ ist nicht festgelegt"
"Widget instance has been successfully deleted.","Widget Instanz wurde erfolgreich gelöscht."
"Widget instance has been successfully saved.","Widget Instanz wurde erfolgreich gespeichert."
"Widget instance is not full complete to create.","Widget Instanz ist nicht komplett um angelegt zu werden."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Falsche Widget-Instanz festgelegt."
"items selected","Artikel ausgewählt"
"of %s pages","von %s Seiten"
"per page","pro Seite"
